Student_ID,Hours_Studied,Attendance,Previous_GPA,Sleep_Hours,Coding_Experience,Course_Type,Projects_Completed,Exam_Score,Expected_Score,Performance_Gap,Pass_Status,Performance_Level,Sleep_Group,Attendance_Group,Project_Group
204,2.6,77.6,2.99,6.1,Intermediate,Cloud,5,56.8,59.5,-2.7,Fail,Needs Support,6 to <7,70-79%,4-7
205,1.2,77.2,2.31,7.5,Beginner,Web Dev,3,50.7,47.9,2.8,Fail,Needs Support,7 to <8,70-79%,0-3
206,3.5,89.9,2.84,6.2,Intermediate,AI/ML,5,63.5,63.7,-0.2,Pass,Satisfactory,6 to <7,80-89%,4-7
207,2.5,97.0,3.18,7.1,Beginner,Data Science,5,56.6,62.2,-5.6,Fail,Needs Support,7 to <8,90%+,4-7
208,8.5,77.4,3.31,6.6,Advanced,AI/ML,6,87.5,86.4,1.1,Pass,High Performer,6 to <7,70-79%,4-7
209,2.3,77.8,2.93,7.8,Intermediate,AI/ML,6,60.2,57.9,2.3,Pass,Satisfactory,7 to <8,70-79%,4-7
210,6.6,85.1,3.77,6.2,Advanced,AI/ML,3,77.4,80.6,-3.2,Pass,Satisfactory,6 to <7,80-89%,0-3
211,8.6,79.5,3.5,5.1,Beginner,Web Dev,6,88.4,80.7,7.7,Pass,High Performer,Below 6,70-79%,4-7
212,7.4,91.5,2.87,5.3,Beginner,Data Science,7,87.1,76.2,10.9,Pass,High Performer,Below 6,90%+,4-7
213,3.2,59.5,3.38,6.2,Beginner,Data Science,9,68.9,60.7,8.2,Pass,Satisfactory,6 to <7,Below 70%,8-11
214,9.8,73.7,3.97,5.4,Intermediate,Data Science,6,88.0,90.3,-2.3,Pass,High Performer,Below 6,70-79%,4-7
215,8.9,74.2,3.98,7.3,Beginner,Web Dev,6,93.8,87.4,6.4,Pass,High Performer,7 to <8,70-79%,4-7
216,9.1,58.8,2.39,6.3,Beginner,Cloud,5,75.5,74.9,0.6,Pass,Satisfactory,6 to <7,Below 70%,4-7
217,2.4,72.4,2.54,9.0,Beginner,Web Dev,5,39.2,49.7,-10.5,Fail,Needs Support,8+,70-79%,4-7
218,2.4,72.8,3.74,4.9,Beginner,Data Science,5,60.8,55.1,5.7,Pass,Satisfactory,Below 6,70-79%,4-7
219,11.2,80.0,2.47,7.0,Beginner,AI/ML,4,87.4,86.2,1.2,Pass,High Performer,7 to <8,80-89%,4-7
220,5.4,93.1,2.34,5.6,Beginner,Cloud,10,90.7,68.6,22.1,Pass,High Performer,Below 6,90%+,8-11
221,4.3,79.5,2.76,6.3,Beginner,Web Dev,6,76.5,64.1,12.4,Pass,Satisfactory,6 to <7,70-79%,4-7
222,6.4,71.7,3.21,7.0,Intermediate,Web Dev,2,80.0,73.9,6.1,Pass,High Performer,7 to <8,70-79%,0-3
223,8.3,81.4,2.95,4.2,Beginner,AI/ML,7,73.0,70.9,2.1,Pass,Satisfactory,Below 6,80-89%,4-7
224,11.5,92.5,2.67,7.1,Beginner,Web Dev,2,92.8,91.4,1.4,Pass,High Performer,7 to <8,90%+,0-3
225,4.2,72.2,2.66,8.9,Intermediate,Web Dev,5,52.1,60.6,-8.5,Fail,Needs Support,8+,70-79%,4-7
226,11.2,72.9,2.64,6.3,Intermediate,Data Science,8,77.5,92.3,-14.8,Pass,Satisfactory,6 to <7,70-79%,8-11
227,1.3,87.6,2.56,7.1,Beginner,Cloud,7,46.0,53.4,-7.4,Fail,Needs Support,7 to <8,80-89%,4-7
228,7.1,79.8,4.0,7.9,Intermediate,Web Dev,3,81.6,82.0,-0.4,Pass,High Performer,7 to <8,70-79%,0-3
229,8.0,88.5,3.15,6.6,Advanced,Cloud,13,73.5,91.4,-17.9,Pass,Satisfactory,6 to <7,80-89%,12-14
230,2.2,81.9,3.44,6.2,Intermediate,Cloud,5,56.7,61.3,-4.6,Fail,Needs Support,6 to <7,80-89%,4-7
231,2.5,89.0,2.76,4.3,Advanced,Cloud,8,55.0,57.1,-2.1,Fail,Needs Support,Below 6,80-89%,8-11
232,5.6,71.6,2.91,7.5,Intermediate,Data Science,7,69.9,71.8,-1.9,Pass,Satisfactory,7 to <8,70-79%,4-7
233,11.6,81.9,2.64,6.7,Beginner,Data Science,7,86.7,92.3,-5.6,Pass,High Performer,6 to <7,80-89%,4-7
234,7.6,79.9,2.0,5.7,Beginner,Data Science,5,67.4,70.3,-2.9,Pass,Satisfactory,Below 6,70-79%,4-7
235,11.3,69.8,2.31,6.9,Intermediate,Data Science,4,100.0,88.3,11.7,Pass,High Performer,6 to <7,Below 70%,4-7
236,9.8,66.4,2.09,6.2,Advanced,Cloud,4,87.7,82.1,5.6,Pass,High Performer,6 to <7,Below 70%,4-7
237,6.1,88.9,2.0,6.2,Intermediate,Web Dev,0,63.0,67.7,-4.7,Pass,Satisfactory,6 to <7,80-89%,0-3
238,9.6,78.5,2.4,7.5,Beginner,AI/ML,5,79.3,79.8,-0.5,Pass,Satisfactory,7 to <8,70-79%,4-7
239,1.2,71.8,3.66,5.3,Intermediate,Web Dev,5,54.9,55.2,-0.3,Fail,Needs Support,Below 6,70-79%,4-7
240,2.2,81.0,2.98,8.0,Beginner,Cloud,6,49.5,56.0,-6.5,Fail,Needs Support,8+,80-89%,4-7
241,10.1,93.3,3.65,5.3,Intermediate,AI/ML,6,85.1,91.7,-6.6,Pass,High Performer,Below 6,90%+,4-7
242,9.8,59.2,3.21,6.1,Intermediate,Data Science,4,92.9,84.3,8.6,Pass,High Performer,6 to <7,Below 70%,4-7
243,3.6,67.0,3.39,8.9,Intermediate,Cloud,4,55.9,59.5,-3.6,Fail,Needs Support,8+,Below 70%,4-7
244,6.8,72.8,2.55,8.0,Advanced,Cloud,4,64.6,73.9,-9.3,Pass,Satisfactory,8+,70-79%,4-7
245,7.7,96.6,3.26,6.9,Intermediate,Web Dev,8,87.4,87.8,-0.4,Pass,High Performer,6 to <7,90%+,8-11
246,10.5,84.8,3.36,5.8,Intermediate,Cloud,10,96.3,95.3,1.0,Pass,High Performer,Below 6,80-89%,8-11
247,7.6,89.7,2.71,6.2,Intermediate,Cloud,3,61.5,78.2,-16.7,Pass,Satisfactory,6 to <7,80-89%,0-3
248,5.5,70.6,3.28,6.9,Advanced,Web Dev,7,76.1,76.4,-0.3,Pass,Satisfactory,6 to <7,70-79%,4-7
249,5.1,70.8,3.28,6.8,Advanced,Data Science,5,80.5,73.1,7.4,Pass,High Performer,6 to <7,70-79%,4-7
250,5.7,86.5,2.73,6.7,Beginner,AI/ML,4,71.6,67.8,3.8,Pass,Satisfactory,6 to <7,80-89%,4-7
251,8.2,82.6,2.44,6.8,Intermediate,Data Science,7,100.0,81.5,18.5,Pass,High Performer,6 to <7,80-89%,4-7
252,10.5,87.5,2.41,6.6,Beginner,AI/ML,5,95.8,85.1,10.7,Pass,High Performer,6 to <7,80-89%,4-7
253,6.0,80.1,3.04,5.2,Advanced,Web Dev,4,85.5,73.2,12.3,Pass,High Performer,Below 6,80-89%,4-7
254,3.7,84.8,3.16,6.2,Intermediate,Web Dev,4,90.3,66.5,23.8,Pass,High Performer,6 to <7,80-89%,4-7
255,3.6,83.6,2.6,7.8,Beginner,Web Dev,8,69.0,62.5,6.5,Pass,Satisfactory,7 to <8,80-89%,8-11
256,9.2,89.8,3.01,5.3,Beginner,Web Dev,9,86.6,85.2,1.4,Pass,High Performer,Below 6,80-89%,8-11
257,10.0,90.1,3.29,6.6,Beginner,Data Science,3,96.8,88.5,8.3,Pass,High Performer,6 to <7,90%+,0-3
258,2.2,65.8,3.31,5.9,Intermediate,AI/ML,2,49.2,54.0,-4.8,Fail,Needs Support,Below 6,Below 70%,0-3
259,1.7,59.5,3.78,6.9,Beginner,Web Dev,4,55.9,55.0,0.9,Fail,Needs Support,6 to <7,Below 70%,4-7
260,7.5,92.0,3.64,6.4,Beginner,Data Science,10,80.0,85.5,-5.5,Pass,High Performer,6 to <7,90%+,8-11
261,2.6,93.9,2.5,8.4,Advanced,Data Science,5,65.1,61.7,3.4,Pass,Satisfactory,8+,90%+,4-7
262,10.1,71.8,3.84,7.4,Intermediate,Data Science,5,87.0,92.6,-5.6,Pass,High Performer,7 to <8,70-79%,4-7
263,4.4,63.4,2.73,5.4,Beginner,Cloud,11,55.3,61.2,-5.9,Fail,Needs Support,Below 6,Below 70%,8-11
264,2.6,83.0,3.52,7.5,Beginner,AI/ML,8,65.4,61.9,3.5,Pass,Satisfactory,7 to <8,80-89%,8-11
265,11.1,91.3,3.03,5.9,Advanced,Cloud,8,97.4,98.6,-1.2,Pass,High Performer,Below 6,90%+,8-11
266,2.8,100.0,2.79,6.2,Intermediate,Web Dev,3,47.0,63.4,-16.4,Fail,Needs Support,6 to <7,90%+,0-3
267,4.1,87.2,2.1,7.1,Intermediate,Data Science,4,50.8,63.2,-12.4,Fail,Needs Support,7 to <8,80-89%,4-7
268,2.7,78.3,2.91,6.3,Beginner,Cloud,5,47.2,57.0,-9.8,Fail,Needs Support,6 to <7,70-79%,4-7
269,2.3,73.1,2.22,7.8,Beginner,Cloud,5,43.2,50.7,-7.5,Fail,Needs Support,7 to <8,70-79%,4-7
270,1.2,82.1,3.48,5.9,Beginner,Data Science,4,57.5,54.0,3.5,Fail,Needs Support,Below 6,80-89%,4-7
271,1.6,79.0,3.76,6.1,Intermediate,Data Science,6,63.0,61.1,1.9,Pass,Satisfactory,6 to <7,70-79%,4-7
272,2.9,71.8,2.6,6.1,Beginner,AI/ML,7,63.9,54.8,9.1,Pass,Satisfactory,6 to <7,70-79%,4-7
273,1.6,100.0,3.15,6.2,Beginner,Data Science,5,64.9,58.5,6.4,Pass,Satisfactory,6 to <7,90%+,4-7
274,7.5,99.9,2.64,8.0,Intermediate,Data Science,9,92.5,83.4,9.1,Pass,High Performer,8+,90%+,8-11
275,8.5,93.4,2.69,7.5,Advanced,Cloud,5,91.7,86.5,5.2,Pass,High Performer,7 to <8,90%+,4-7
276,5.3,72.8,3.39,8.7,Intermediate,AI/ML,10,72.6,70.8,1.8,Pass,Satisfactory,8+,70-79%,8-11
277,4.5,90.6,2.98,9.0,Intermediate,Web Dev,6,76.5,67.1,9.4,Pass,Satisfactory,8+,90%+,4-7
278,6.5,88.4,3.87,5.7,Intermediate,Data Science,8,90.2,82.4,7.8,Pass,High Performer,Below 6,80-89%,8-11
279,10.6,86.4,2.76,6.9,Beginner,Web Dev,7,93.8,90.6,3.2,Pass,High Performer,6 to <7,80-89%,4-7
280,10.4,94.5,3.5,5.5,Beginner,Web Dev,7,100.0,92.6,7.4,Pass,High Performer,Below 6,90%+,4-7
281,1.5,88.4,3.05,5.9,Intermediate,AI/ML,9,38.9,58.8,-19.9,Fail,Needs Support,Below 6,80-89%,8-11
282,3.0,89.4,3.4,6.1,Beginner,Data Science,5,60.4,62.9,-2.5,Pass,Satisfactory,6 to <7,80-89%,4-7
283,3.6,88.4,2.78,5.6,Intermediate,Web Dev,5,61.3,63.9,-2.6,Pass,Satisfactory,Below 6,80-89%,4-7
284,3.7,85.4,2.98,5.6,Advanced,Web Dev,3,75.8,66.0,9.8,Pass,Satisfactory,Below 6,80-89%,0-3
285,7.3,64.2,2.94,6.6,Advanced,Web Dev,3,90.8,77.5,13.3,Pass,High Performer,6 to <7,Below 70%,0-3
286,5.6,82.8,2.58,5.5,Beginner,Cloud,6,53.4,65.7,-12.3,Fail,Needs Support,Below 6,80-89%,4-7
287,1.5,76.4,3.33,7.7,Beginner,Data Science,6,67.4,55.4,12.0,Pass,Satisfactory,7 to <8,70-79%,4-7
288,5.1,69.2,3.33,5.8,Beginner,Web Dev,5,56.5,66.4,-9.9,Fail,Needs Support,Below 6,Below 70%,4-7
289,6.8,98.8,3.3,9.0,Beginner,Web Dev,3,64.4,74.1,-9.7,Pass,Satisfactory,8+,90%+,0-3
290,2.1,99.3,3.77,6.3,Beginner,Data Science,5,61.6,63.6,-2.0,Pass,Satisfactory,6 to <7,90%+,4-7
291,10.2,95.6,3.72,6.9,Beginner,AI/ML,4,89.2,91.9,-2.7,Pass,High Performer,6 to <7,90%+,4-7
292,1.6,84.6,2.81,5.4,Intermediate,Data Science,7,42.6,55.9,-13.3,Fail,Needs Support,Below 6,80-89%,4-7
293,11.2,95.5,3.19,8.7,Intermediate,AI/ML,8,100.0,95.2,4.8,Pass,High Performer,8+,90%+,8-11
294,2.1,82.1,2.69,8.0,Advanced,Cloud,7,66.2,60.5,5.7,Pass,Satisfactory,8+,80-89%,4-7
295,10.3,84.0,3.01,7.1,Beginner,AI/ML,2,94.0,85.0,9.0,Pass,High Performer,7 to <8,80-89%,0-3
296,10.9,71.1,2.7,5.3,Beginner,Data Science,7,81.0,84.7,-3.7,Pass,High Performer,Below 6,70-79%,4-7
297,11.8,86.0,3.81,7.0,Beginner,Web Dev,5,98.9,99.2,-0.3,Pass,High Performer,7 to <8,80-89%,4-7
298,9.8,82.6,3.18,5.6,Beginner,Cloud,6,84.9,85.1,-0.2,Pass,High Performer,Below 6,80-89%,4-7
299,9.6,69.0,2.89,8.4,Beginner,Cloud,5,94.0,79.6,14.4,Pass,High Performer,8+,Below 70%,4-7
300,8.1,81.5,3.6,7.7,Advanced,Data Science,3,62.3,86.4,-24.1,Pass,Satisfactory,7 to <8,80-89%,0-3
301,9.6,81.2,2.0,6.9,Beginner,AI/ML,7,71.7,79.8,-8.1,Pass,Satisfactory,6 to <7,80-89%,4-7
302,2.5,100.0,2.0,4.1,Beginner,Web Dev,6,48.2,48.1,0.1,Fail,Needs Support,Below 6,90%+,4-7
303,6.9,90.9,3.4,5.7,Intermediate,Cloud,4,69.6,78.8,-9.2,Pass,Satisfactory,Below 6,90%+,4-7
304,6.7,82.1,3.03,7.6,Intermediate,Data Science,9,77.6,79.8,-2.2,Pass,Satisfactory,7 to <8,80-89%,8-11
305,10.4,84.5,3.13,8.1,Intermediate,Web Dev,8,92.6,93.7,-1.1,Pass,High Performer,8+,80-89%,8-11
306,6.1,82.4,2.34,8.0,Beginner,AI/ML,7,61.8,67.4,-5.6,Pass,Satisfactory,8+,80-89%,4-7
307,5.2,80.0,2.99,5.0,Intermediate,AI/ML,7,67.0,66.5,0.5,Pass,Satisfactory,Below 6,80-89%,4-7
308,8.0,71.2,4.0,7.1,Beginner,Cloud,6,88.0,82.6,5.4,Pass,High Performer,7 to <8,70-79%,4-7
309,3.9,80.5,3.41,7.9,Beginner,Data Science,6,63.3,65.3,-2.0,Pass,Satisfactory,7 to <8,80-89%,4-7
310,2.5,74.5,3.08,5.0,Intermediate,Data Science,4,51.3,55.2,-3.9,Fail,Needs Support,Below 6,70-79%,4-7
311,6.3,69.5,2.78,6.8,Advanced,Data Science,9,76.0,77.4,-1.4,Pass,Satisfactory,6 to <7,Below 70%,8-11
312,5.6,87.1,2.8,7.1,Beginner,AI/ML,5,68.6,68.6,0.0,Pass,Satisfactory,7 to <8,80-89%,4-7
313,3.6,85.9,2.0,6.5,Intermediate,AI/ML,1,42.0,56.8,-14.8,Fail,Needs Support,6 to <7,80-89%,0-3
314,5.0,64.1,3.13,4.8,Beginner,Web Dev,7,65.4,61.4,4.0,Pass,Satisfactory,Below 6,Below 70%,4-7
315,5.0,80.8,3.42,6.4,Beginner,Cloud,7,66.4,70.3,-3.9,Pass,Satisfactory,6 to <7,80-89%,4-7
316,4.6,92.0,2.21,6.4,Beginner,AI/ML,3,71.7,61.0,10.7,Pass,Satisfactory,6 to <7,90%+,0-3
317,5.2,92.6,2.67,6.6,Intermediate,AI/ML,1,72.7,67.7,5.0,Pass,Satisfactory,6 to <7,90%+,0-3
318,8.5,92.3,2.42,6.2,Beginner,Web Dev,4,89.2,79.3,9.9,Pass,High Performer,6 to <7,90%+,4-7
319,4.3,82.4,2.52,6.3,Intermediate,Web Dev,3,55.9,64.5,-8.6,Fail,Needs Support,6 to <7,80-89%,0-3
320,11.4,73.5,3.03,6.8,Beginner,Data Science,10,90.8,94.0,-3.2,Pass,High Performer,6 to <7,70-79%,8-11
321,11.1,71.2,2.0,7.3,Advanced,Web Dev,5,79.2,89.8,-10.6,Pass,Satisfactory,7 to <8,70-79%,4-7
322,6.3,85.4,3.31,6.5,Advanced,Web Dev,2,72.9,78.9,-6.0,Pass,Satisfactory,6 to <7,80-89%,0-3
323,4.6,85.8,3.38,6.3,Beginner,Data Science,3,77.9,67.2,10.7,Pass,Satisfactory,6 to <7,80-89%,0-3
324,6.9,94.9,2.87,6.9,Beginner,AI/ML,6,88.7,76.1,12.6,Pass,High Performer,6 to <7,90%+,4-7
325,10.3,93.0,2.0,4.7,Beginner,AI/ML,3,66.3,76.1,-9.8,Pass,Satisfactory,Below 6,90%+,0-3
326,8.2,80.7,2.5,7.3,Advanced,AI/ML,3,75.9,79.8,-3.9,Pass,Satisfactory,7 to <8,80-89%,0-3
327,9.8,69.6,3.62,6.8,Beginner,Cloud,1,83.2,83.9,-0.7,Pass,High Performer,6 to <7,Below 70%,0-3
328,6.9,78.8,2.0,6.8,Intermediate,AI/ML,7,77.1,72.1,5.0,Pass,Satisfactory,6 to <7,70-79%,4-7
329,8.0,84.2,2.83,7.9,Beginner,Data Science,4,62.3,77.3,-15.0,Pass,Satisfactory,7 to <8,80-89%,4-7
330,4.2,80.0,2.41,4.7,Intermediate,Cloud,6,44.9,58.5,-13.6,Fail,Needs Support,Below 6,80-89%,4-7
331,9.1,76.2,3.4,4.6,Intermediate,Data Science,4,84.4,80.2,4.2,Pass,High Performer,Below 6,70-79%,4-7
332,3.2,84.5,2.66,7.1,Intermediate,AI/ML,9,47.3,63.9,-16.6,Fail,Needs Support,7 to <8,80-89%,8-11
333,8.6,77.0,3.2,6.8,Advanced,Data Science,6,84.0,87.8,-3.8,Pass,High Performer,6 to <7,70-79%,4-7
334,10.5,75.7,3.28,7.0,Beginner,AI/ML,13,94.2,92.8,1.4,Pass,High Performer,7 to <8,70-79%,12-14
335,2.5,85.1,3.92,6.3,Advanced,AI/ML,5,70.8,67.2,3.6,Pass,Satisfactory,6 to <7,80-89%,4-7
336,7.8,78.0,2.9,7.5,Beginner,Data Science,8,77.7,79.0,-1.3,Pass,Satisfactory,7 to <8,70-79%,8-11
337,2.0,84.4,3.19,7.8,Intermediate,AI/ML,5,55.6,58.7,-3.1,Fail,Needs Support,7 to <8,80-89%,4-7
338,9.0,84.7,2.26,7.3,Advanced,Web Dev,6,93.5,86.3,7.2,Pass,High Performer,7 to <8,80-89%,4-7
339,1.9,70.6,3.6,6.5,Intermediate,AI/ML,4,60.1,57.7,2.4,Pass,Satisfactory,6 to <7,70-79%,4-7
340,11.3,77.2,2.62,4.5,Intermediate,Web Dev,6,80.4,85.9,-5.5,Pass,High Performer,Below 6,70-79%,4-7
341,2.5,96.4,2.72,7.6,Beginner,AI/ML,5,58.1,57.8,0.3,Fail,Needs Support,7 to <8,90%+,4-7
342,11.5,70.4,2.99,8.1,Beginner,Data Science,8,94.2,90.9,3.3,Pass,High Performer,8+,70-79%,8-11
343,9.8,60.8,2.22,7.5,Beginner,Cloud,4,91.3,76.6,14.7,Pass,High Performer,7 to <8,Below 70%,4-7
344,7.5,63.4,3.11,5.8,Intermediate,Web Dev,5,83.0,76.3,6.7,Pass,High Performer,Below 6,Below 70%,4-7
345,9.6,82.3,3.48,7.5,Intermediate,Data Science,11,100.0,94.6,5.4,Pass,High Performer,7 to <8,80-89%,8-11
346,9.7,82.3,3.15,7.7,Beginner,AI/ML,8,81.3,86.5,-5.2,Pass,High Performer,7 to <8,80-89%,8-11
347,11.4,80.8,2.21,8.5,Beginner,Web Dev,5,81.4,85.8,-4.4,Pass,High Performer,8+,80-89%,4-7
348,3.8,94.1,2.94,5.8,Beginner,Web Dev,7,63.5,65.5,-2.0,Pass,Satisfactory,Below 6,90%+,4-7
349,7.5,55.3,3.37,6.6,Beginner,Web Dev,6,74.0,75.2,-1.2,Pass,Satisfactory,6 to <7,Below 70%,4-7
350,2.0,86.0,2.06,7.6,Beginner,Web Dev,7,45.2,53.8,-8.6,Fail,Needs Support,7 to <8,80-89%,4-7
351,7.8,97.6,2.46,6.9,Advanced,AI/ML,6,94.1,83.4,10.7,Pass,High Performer,6 to <7,90%+,4-7
352,2.9,70.7,3.44,5.6,Intermediate,AI/ML,5,66.8,59.3,7.5,Pass,Satisfactory,Below 6,70-79%,4-7
353,7.2,78.2,3.14,7.3,Beginner,Data Science,3,72.3,74.9,-2.6,Pass,Satisfactory,7 to <8,70-79%,0-3
354,7.3,74.5,3.21,7.4,Intermediate,Web Dev,6,85.8,80.3,5.5,Pass,High Performer,7 to <8,70-79%,4-7
355,6.1,73.1,3.93,6.9,Advanced,Web Dev,11,87.0,85.1,1.9,Pass,High Performer,6 to <7,70-79%,8-11
356,6.7,78.7,3.23,7.0,Beginner,Web Dev,6,82.2,76.1,6.1,Pass,High Performer,7 to <8,70-79%,4-7
357,9.4,96.3,3.33,6.5,Beginner,Data Science,7,78.7,90.1,-11.4,Pass,Satisfactory,6 to <7,90%+,4-7
358,9.8,100.0,4.0,8.4,Beginner,AI/ML,7,91.1,92.3,-1.2,Pass,High Performer,8+,90%+,4-7
359,6.4,78.6,2.89,5.8,Beginner,Data Science,3,68.6,69.1,-0.5,Pass,Satisfactory,Below 6,70-79%,0-3
360,7.6,100.0,2.6,6.2,Intermediate,Web Dev,5,87.2,81.9,5.3,Pass,High Performer,6 to <7,90%+,4-7
361,11.2,82.4,3.21,6.8,Advanced,Web Dev,4,92.6,98.0,-5.4,Pass,High Performer,6 to <7,80-89%,4-7
362,2.3,99.5,3.22,7.8,Beginner,Cloud,6,40.3,61.6,-21.3,Fail,Needs Support,7 to <8,90%+,4-7
363,2.3,81.1,2.74,5.2,Intermediate,Web Dev,0,43.5,52.7,-9.2,Fail,Needs Support,Below 6,80-89%,0-3
364,2.0,83.3,2.48,5.4,Beginner,Web Dev,8,53.1,53.6,-0.5,Fail,Needs Support,Below 6,80-89%,8-11
365,8.2,85.7,4.0,4.6,Intermediate,Web Dev,7,84.7,84.2,0.5,Pass,High Performer,Below 6,80-89%,4-7
366,5.6,100.0,3.16,6.8,Intermediate,Cloud,4,90.6,76.3,14.3,Pass,High Performer,6 to <7,90%+,4-7
367,9.5,90.5,2.63,5.6,Beginner,Data Science,6,88.1,83.1,5.0,Pass,High Performer,Below 6,90%+,4-7
368,8.4,74.9,3.46,6.4,Beginner,Data Science,5,82.2,81.5,0.7,Pass,High Performer,6 to <7,70-79%,4-7
369,4.7,91.7,2.95,7.5,Intermediate,Cloud,4,69.7,69.9,-0.2,Pass,Satisfactory,7 to <8,90%+,4-7
370,10.9,78.4,2.87,6.1,Advanced,Web Dev,8,100.0,96.0,4.0,Pass,High Performer,6 to <7,70-79%,8-11
371,9.4,77.1,3.28,7.1,Beginner,Cloud,8,81.6,86.6,-5.0,Pass,High Performer,7 to <8,70-79%,8-11
372,4.0,91.1,2.35,6.5,Beginner,Web Dev,10,64.7,65.9,-1.2,Pass,Satisfactory,6 to <7,90%+,8-11
373,5.0,82.3,3.18,7.5,Beginner,Data Science,4,58.7,68.0,-9.3,Fail,Needs Support,7 to <8,80-89%,4-7
374,4.5,84.8,3.96,7.3,Intermediate,AI/ML,6,85.7,73.6,12.1,Pass,High Performer,7 to <8,80-89%,4-7
375,2.7,82.1,3.23,6.0,Intermediate,AI/ML,5,64.1,60.8,3.3,Pass,Satisfactory,6 to <7,80-89%,4-7
376,2.6,85.4,2.81,6.6,Intermediate,Cloud,2,52.8,58.8,-6.0,Fail,Needs Support,6 to <7,80-89%,0-3
377,11.3,86.2,2.75,7.9,Intermediate,Web Dev,9,95.6,96.5,-0.9,Pass,High Performer,7 to <8,80-89%,8-11
378,5.8,62.6,2.79,7.2,Advanced,Cloud,10,78.7,74.4,4.3,Pass,Satisfactory,7 to <8,Below 70%,8-11
379,5.2,88.7,2.87,5.3,Intermediate,AI/ML,4,64.7,66.8,-2.1,Pass,Satisfactory,Below 6,80-89%,4-7
380,9.0,72.2,2.81,7.5,Beginner,Data Science,7,76.7,81.3,-4.6,Pass,Satisfactory,7 to <8,70-79%,4-7
381,7.1,67.6,3.46,5.6,Intermediate,Cloud,4,69.6,75.2,-5.6,Pass,Satisfactory,Below 6,Below 70%,4-7
382,11.3,81.4,2.13,8.4,Beginner,Web Dev,8,90.3,87.4,2.9,Pass,High Performer,8+,80-89%,8-11
383,9.6,82.8,3.43,7.9,Beginner,Cloud,4,82.7,85.7,-3.0,Pass,High Performer,7 to <8,80-89%,4-7
384,6.3,75.1,2.81,7.1,Advanced,Data Science,6,72.9,76.7,-3.8,Pass,Satisfactory,7 to <8,70-79%,4-7
385,5.1,90.3,3.19,7.0,Intermediate,Data Science,3,61.2,72.6,-11.4,Pass,Satisfactory,7 to <8,90%+,0-3
386,11.9,68.6,2.44,6.6,Advanced,Web Dev,4,94.5,93.9,0.6,Pass,High Performer,6 to <7,Below 70%,4-7
387,8.9,77.9,3.66,7.5,Beginner,Data Science,6,84.2,85.8,-1.6,Pass,High Performer,7 to <8,70-79%,4-7
388,11.5,76.2,3.62,6.4,Intermediate,Data Science,6,95.3,98.0,-2.7,Pass,High Performer,6 to <7,70-79%,4-7
389,2.3,81.5,3.48,7.1,Intermediate,AI/ML,6,63.9,62.2,1.7,Pass,Satisfactory,7 to <8,80-89%,4-7
390,10.4,84.8,2.24,7.8,Beginner,Web Dev,5,91.2,84.8,6.4,Pass,High Performer,7 to <8,80-89%,4-7
391,8.0,71.9,3.41,6.2,Beginner,Web Dev,10,88.5,82.6,5.9,Pass,High Performer,6 to <7,70-79%,8-11
392,2.3,89.2,3.2,6.1,Intermediate,Cloud,6,67.0,62.3,4.7,Pass,Satisfactory,6 to <7,80-89%,4-7
393,7.5,82.6,2.2,5.5,Beginner,Web Dev,5,69.3,71.3,-2.0,Pass,Satisfactory,Below 6,80-89%,4-7
394,8.5,63.1,2.99,5.6,Advanced,Data Science,7,77.3,82.1,-4.8,Pass,Satisfactory,Below 6,Below 70%,4-7
395,1.1,62.4,3.18,4.8,Beginner,Cloud,4,34.7,43.6,-8.9,Fail,Needs Support,Below 6,Below 70%,4-7
396,6.0,81.9,3.28,7.6,Beginner,Web Dev,9,70.8,75.9,-5.1,Pass,Satisfactory,7 to <8,80-89%,8-11
397,10.1,79.8,3.09,8.8,Intermediate,Web Dev,4,86.7,86.5,0.2,Pass,High Performer,8+,70-79%,4-7
398,4.2,81.0,3.15,8.4,Beginner,Data Science,4,55.9,62.6,-6.7,Fail,Needs Support,8+,80-89%,4-7
399,6.0,81.7,3.74,5.0,Advanced,Web Dev,9,80.3,79.5,0.8,Pass,High Performer,Below 6,80-89%,8-11
400,5.9,84.3,3.61,7.6,Intermediate,Data Science,10,72.6,80.8,-8.2,Pass,Satisfactory,7 to <8,80-89%,8-11
401,4.3,91.5,2.0,8.4,Beginner,Data Science,5,45.5,59.6,-14.1,Fail,Needs Support,8+,90%+,4-7
402,11.1,70.9,2.84,6.3,Intermediate,Data Science,5,97.6,90.6,7.0,Pass,High Performer,6 to <7,70-79%,4-7
403,9.6,70.3,2.92,6.9,Intermediate,AI/ML,2,78.3,82.3,-4.0,Pass,Satisfactory,6 to <7,70-79%,0-3
404,2.2,71.1,2.12,4.6,Intermediate,Data Science,11,43.8,50.9,-7.1,Fail,Needs Support,Below 6,70-79%,8-11
405,12.0,84.9,3.05,7.1,Intermediate,Data Science,4,88.4,97.7,-9.3,Pass,High Performer,7 to <8,80-89%,4-7
406,10.7,94.4,3.62,5.6,Intermediate,Web Dev,11,100.0,100.0,0.0,Pass,High Performer,Below 6,90%+,8-11
407,4.1,77.7,2.46,7.0,Intermediate,Data Science,6,76.2,64.5,11.7,Pass,Satisfactory,7 to <8,70-79%,4-7
